ref_id,category,foreground,background,width,height,diameter,product_page,sub-category,image_path,page,description_gemini
138TA8284,topitems,BLACK,MIXED,80,20,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA8284,topitems,output_images\138TA8284_page106_img6.png,106.0,Black on mixed background safety label: corrosive substance hazard. Purpose: To warn of the dangers of corrosive materials and prevent accidents.
137TA9540,topitems,MIXED,MIXED,87,108,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9540,topitems,output_images\137TA9540_page16_img13.png,16.0,Mixed on mixed safety labels: warning triangle and deadman switch operation. Purpose: To indicate potential hazards and correct operation of safety devices.
137TA9810,topitems,GREY,BLACK,45,31,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9810,topitems,output_images\137TA9810_page16_img11.png,16.0,"Grey on black safety warning label:  Danger, do not enter,  with prohibition circle symbol. Purpose: To warn against entering a hazardous area."
137TA9728,topitems,MIXED,WHITE,0,0,62,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9728,topitems,output_images\137TA9728_page16_img12.png,16.0,Mixed on white safety label:  Indicates bidirectional movement with central point of operation. Purpose: To mark machinery controls or areas requiring two-handed operation for safety.
137TA9727,topitems,GREY,BLACK,40,87,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9727,topitems,output_images\137TA9727_page16_img18.png,16.0,Red on white circular safety label: prohibits riding on forklifts.  Purpose: To prevent accidents and injuries caused by riding on forklifts.
107TA7999,topitems,BLACK,YELLOW,94,216,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=107TA7999,topitems,output_images\107TA7999_page16_img17.png,16.0,"Black on yellow safety label; Up and down arrows with center circle indicating vertical movement. Purpose: To indicate the direction of vertical movement, often used for machinery operation instructions."
123TA5212,topitems,MIXED,WHITE,90,265,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=123TA5212,topitems,output_images\123TA5212_page131_img8.png,131.0,"Mixed on white rectangular safety label; includes multiple warnings. Purpose:  To provide a variety of safety warnings in a single, compact label."
137TA9777,topitems,GREY,BLACK,45,31,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9777,topitems,output_images\137TA9777_page16_img19.png,16.0,Grey on black safety label: Do not lean on machine. Purpose: To warn against leaning on machinery to prevent injury.
137TA9736,topitems,WHITE,TRANSPARENT,31,15,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9736,topitems,output_images\137TA9736_page16_img15.png,16.0,White on transparent multi-directional arrow safety label; Purpose: indicates adjustable or multi-directional movement.
107TA7681,topitems,MIXED,WHITE,44,90,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=107TA7681,topitems,output_images\107TA7681_page16_img14.png,16.0,White on black safety label: horn symbol. Purpose: To indicate the location of a horn or alert system.
137TA9651,topitems,MIXED,MIXED,87,108,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9651,topitems,output_images\137TA9651_page16_img16.png,16.0,"Red and white safety label with illustrations depicting proper and improper use of machinery;  Purpose: to instruct users on safe operating procedures, preventing injury from improper handling."
107TA7980,topitems,GREY,BLACK,88,88,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=107TA7980,topitems,output_images\107TA7980_page170_img5.png,170.0,"Grey on black triangular warning labels:  Indicates a hazard requiring immediate attention. Purpose: To alert personnel of potential dangers in the workplace, preventing accidents and injuries."
137TA9382,topitems,GREY,BLACK,37,88,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9382,topitems,output_images\137TA9382_page16_img1.png,16.0,Grey on black safety label indicating multi-directional movement. Purpose: To indicate permissible movement directions for machinery or equipment.
137TA9457,topitems,WHITE,BLACK,0,0,30,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9457,topitems,output_images\137TA9457_page16_img4.png,16.0,White on black vertical lift safety label; Purpose:  Indicates the lifting and lowering mechanism for equipment or machinery.
107TA8006,topitems,unknow,unknow,0,0,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=107TA8006,topitems,output_images\107TA8006_page16_img3.png,16.0,White on black circular safety labels; various handling and transportation symbols. Purpose:  Clearly communicate handling and transportation instructions to prevent damage or injury during shipping and handling.
121TA1386,kit,BLACK,unknow,33,0,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=121TA1386,kit,output_images\121TA1386_page17_img1.png,17.0,"Red on white triangular warning sign:  ""New in Programme"" indicating data transfer; Purpose: to mark new data entry or program updates."
139TA2942,kit,BLACK,ORANGE,47,40,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=139TA2942,kit,output_images\139TA2942_page18_img13.png,18.0,Black on orange triangular safety warning labels;  Purpose:  For use as general warning indicators.
