ref_id,category,foreground,background,width,height,diameter,product_page,sub-category,image_path,page,auto_caption,enriched_caption,refined_caption
126TA9829,fork,BLACK,GREY,25,22,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA9829,combinations,output_images\126TA9829_page44_img5.png,44.0,"the cover of the book, the book of the dead","the cover of the book, the book of the dead. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 25x22 mm.","Grey with black text, round safety warning label: Black Deadman Switch."
138TA2233,fork,BLACK,GREY,25,61,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA2233,combinations,output_images\138TA2233_page45_img20.png,45.0,the icon for the app,"the icon for the app. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 25x61 mm.","Forklift combination label, black text on grey background with deadman switch icon. Purpose: used on forklifts to indicate safety feature control."
123TA4696,fork,BLACK,GREY,45,31,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=123TA4696,combinations,output_images\123TA4696_page45_img18.png,45.0,a black and white photograph of a man in a suit,"a black and white photograph of a man in a suit. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 45x31 mm.","Black on grey safety warning label with deadman switch symbol, Purpose: used on forklifts to indicate emergency stop control."
138TA1326,fork,BLACK,GREY,57,57,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1326,combinations,output_images\138TA1326_page45_img19.png,45.0,a black guitar pick with a white background,"a black guitar pick with a white background. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 57x57 mm.",Black on grey safety warning sign: Deadman switch indication.
126TA3231,fork,BLACK,GREY,60,50,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA3231,combinations,output_images\126TA3231_page45_img9.png,45.0,a white and black tile with a square pattern,"a white and black tile with a square pattern. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 60x50 mm.","Grey with black square pattern safety warning label: deadman switch, Purpose: used on forklifts to indicate tilt control."
138TA1582,fork,BLACK,GREY,60,60,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1582,combinations,output_images\138TA1582_page45_img8.png,45.0,a clock with arrows pointing in different directions,"a clock with arrows pointing in different directions. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 60x60 mm.","Black triangle on grey forklift dashboard arrow: Deadman switch warning sign, Purpose: used to activate forklift brakes upon release of the deadman switch."
111TA2623,fork,BLACK,GREY,60,70,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=111TA2623,combinations,output_images\111TA2623_page45_img11.png,45.0,a square tile with a square pattern,"a square tile with a square pattern. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 60x70 mm.","Grey background, BLACK foreground square pattern tile safety warning sign: indicates fork lift tilt control."
126TA3221,fork,BLACK,GREY,66,65,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA3221,combinations,output_images\126TA3221_page45_img10.png,45.0,a metal plate with holes and holes,"a metal plate with holes and holes. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 66x65 mm.","Grey metal plate with holes, used as a dashboard arrow warning sign on a fork. Purpose: guides operator's attention to lift height."
138TA1699,fork,BLACK,GREY,70,181,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1699,combinations,output_images\138TA1699_page45_img4.png,45.0,a metal plate with four different types of buttons,"a metal plate with four different types of buttons. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 70x181 mm.","Grey background, black button safety warning sign: deadman switch (Purpose: used on forklifts to activate emergency stop)."
138TA3552,fork,BLACK,GREY,78,83,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA3552,combinations,output_images\138TA3552_page45_img2.jpeg,45.0,the text is written in black and white,"the text is written in black and white. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 78x83 mm.","Black on grey safety label with black text and yellow outline, indicating ""Deadman Switch"" is not used here but a generic example: Black on grey safety warning sign with red border, ""No Entry""."
111TA2119,fork,BLACK,GREY,82,50,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=111TA2119,combinations,output_images\111TA2119_page45_img7.png,45.0,a black and white photo of a square object,"a black and white photo of a square object. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 82x50 mm.","Black on yellow safety warning label with red arrow: Forklift Tilt Control, Purpose: used on forklifts to indicate tilt control, Foreground=BLACK, Background=GREY."
123TA4698,fork,BLACK,GREY,90,100,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=123TA4698,combinations,output_images\123TA4698_page45_img13.png,45.0,a metal cabinet with four different symbols,"a metal cabinet with four different symbols. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 90x100 mm.","Grey on black fork combination sign with a deadman switch symbol, purpose: used on forklifts to indicate tilt control."
126TA3230,fork,BLACK,GREY,99,105,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA3230,combinations,output_images\126TA3230_page45_img12.png,45.0,a black and white picture of a square ring,"a black and white picture of a square ring. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 99x105 mm.","Black square sign with a ring design, Foreground=BLACK, Background=GREY, on a grey background. Purpose: indicates fork tilter control combination."
138TA1682,fork,BLACK,GREY,103,22,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1682,combinations,output_images\138TA1682_page45_img15.jpeg,45.0,a black and white photo of a cross,"a black and white photo of a cross. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 103x22 mm.","Grey on black safety warning sign: Cross, Purpose: used on forklifts to indicate direction of travel."
137TA9789,fork,BLACK,GREY,150,52,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9789,combinations,output_images\137TA9789_page45_img14.png,45.0,a pair of black and white images of a man with a beard,"a pair of black and white images of a man with a beard. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 150x52 mm.","Black and white image of a man with a beard, circular dashboard arrow sign on black background with grey foreground, Purpose: used on forklifts to indicate tilt control."
138TA2365,fork,BLACK,GREY,181,150,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA2365,combinations,output_images\138TA2365_page45_img17.png,45.0,a white and black sign with the words,"a white and black sign with the words. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 181x150 mm.","Grey background, black foreground circular safety label with the words ""Deadman Switch"" and arrow pointing downwards. Purpose: indicates dead man's switch function."
123TA4701,fork,BLACK,GREY,235,70,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=123TA4701,combinations,output_images\123TA4701_page45_img16.png,45.0,a horseshoe shaped horseshoe with a horseshoe shaped horseshoe,"a horseshoe shaped horseshoe with a horseshoe shaped horseshoe. Category: fork. subcategory: combinations. Foreground: BLACK, Background: GREY. Size: 235x70 mm.","Black horseshoe-shaped sign with a black background, grey foreground, indicating a deadman switch function on forklifts."
